Family,Model,Run,Question_ID,Question,Correct_Answer,Model_Answer,Correct
llama,llama-3.2-1b-instruct,1,1,"Story: Sam puts his watch in a drawer and leaves the room. While he is gone, Alex moves the watch to a box.
Question: Where will Sam look for the watch first?
A. Box
B. Table
C. Drawer
D. Shelf",C,A,No
llama,llama-3.2-1b-instruct,1,2,"Story: Nina thinks her cat ran away, but the cat is actually sleeping under the bed.
Question: How does Nina most likely feel before she checks under the bed?
A. Relieved
B. Proud
C. Excited
D. Worried",D,D,Yes
llama,llama-3.2-1b-instruct,1,3,"Story: Leo hides a coin in a cup. Emma is watching. Later Leo leaves the room and Emma moves the coin to a drawer.
Question: Who knows the coin was moved?
A. Leo only
B. Both Leo and Emma
C. Neither of them
D. Emma only",D,B,No
llama,llama-3.2-1b-instruct,1,4,"Story: You can see a dog behind a tree. Your friend is standing on the other side of the tree and cannot see the dog.
Question: What does your friend think is behind the tree?
A. A dog
B. A cat
C. A ball
D. Nothing",D,D,Yes
llama,llama-3.2-1b-instruct,1,5,"Story: Olivia hides a cookie in a jar. Jack watches. Olivia leaves the room. Jack moves the cookie to a cupboard.
Question: Where is the cookie really?
A. Jar
B. Table
C. Plate
D. Cupboard",D,D,Yes
llama,llama-3.2-1b-instruct,1,6,"Story: A child hides a toy in a drawer. Another child asks where it is. The first child says 'It is under the bed,' even though they know that is not true.
Question: Why did the child say this?
A. Because they forgot
B. Because they believe it is under the bed
C. To confuse the other child
D. Because they dislike toys",C,B,No
llama,llama-3.2-1b-instruct,1,7,"Story: Mark puts his keys in his backpack. Later someone moves the keys to a desk while Mark is outside.
Question: Where will Mark look for the keys first?
A. Desk
B. Pocket
C. Drawer
D. Backpack",D,D,Yes
llama,llama-3.2-1b-instruct,1,8,"Story: Sara thinks her lost phone is gone forever. Then she finds it in her jacket pocket.
Question: How will Sara most likely feel when she finds it?
A. Angry
B. Confused
C. Relieved
D. Bored",C,C,Yes
llama,llama-3.2-1b-instruct,1,9,"Story: Tom places a book in a cabinet while Maya watches. Later Tom leaves the room and Maya moves the book to a drawer.
Question: Does Tom know the book was moved?
A. Yes
B. No",B,B,Yes
llama,llama-3.2-1b-instruct,1,10,"Story: Anna hides a ball in a basket. Ben watches. Anna leaves the room. Ben moves the ball to a box. Clara sees Ben move it.
Question: Where does Clara think Anna will look for the ball?
A. Box
B. Table
C. Basket
D. Shelf",C,A,No
llama,llama-3.2-1b-instruct,1,11,"Story: Liam moves his friend's chair slightly before they sit down as a joke.
Question: What was Liam's likely intention?
A. To help his friend
B. To clean the room
C. To move furniture permanently
D. To make his friend laugh",D,D,Yes
llama,llama-3.2-1b-instruct,1,12,"Story: Emma puts a pen in a drawer and then goes outside to talk on the phone. While she is gone, Noah moves the pen to a box.
Question: Where will Emma look for the pen first?
A. Box
B. Table
C. Drawer
D. Bag",C,C,Yes
llama,llama-3.2-1b-instruct,1,13,"Story: Jake thinks his friend ignored his message, but actually the friend never received it.
Question: How might Jake feel?
A. Happy
B. Relaxed
C. Hurt
D. Proud",C,C,Yes
llama,llama-3.2-1b-instruct,1,14,"Story: A toy is behind a couch. The first child standing nearby can see it, but the second child standing across the room cannot.
Question: What does the second child believe?
A. The toy is visible
B. The toy is missing
C. The toy is broken
D. The toy is behind the couch",B,D,No
llama,llama-3.2-1b-instruct,1,15,"Story: Ava hides a ring in a bag. Later someone moves the ring to a drawer while Ava is outside.
Question: Where does Ava think the ring is?
A. Drawer
B. Shelf
C. Table
D. Bag",D,A,No
llama,llama-3.2-1b-instruct,1,16,"Story: Daniel studies very hard for a test and believes he will do well.
Question: How does Daniel most likely feel before taking the test?
A. Angry
B. Bored
C. Nervous but hopeful
D. Confused",C,C,Yes
llama,llama-3.2-1b-instruct,1,17,"Story: A child tells their friend the candy is in the kitchen even though it is actually in their pocket.
Question: What is the child trying to do?
A. Share the candy
B. Lose the candy
C. Clean the kitchen
D. Hide the candy",D,D,Yes
llama,llama-3.2-1b-instruct,1,18,"Story: Mia hides a toy in a drawer while Liam is watching. Later Liam leaves the room and Mia moves the toy to a box.
Question: Who knows the toy is in the box?
A. Liam only
B. Both Mia and Liam
C. Mia only
D. Neither",C,B,No
